Year,Average Wage,"Agriculture, Forestry,Animal Husbandry and Fishery",Mining,Manufacturing,"Production and supply of Electricity,Heat,Gas and Water",Construction,Wholesale and Retail Trades,"Transport, Storage and Post",Hotels and Catering Services,"Information Transmission, software and Information Technology",Financial Intermediation,Real Estate,Leasing and Business Services,Scientific Research and Technical Services,"Management of Water Conservancy, Environment and Public Facilities","Services toHouseholds, Repair and Other Services",Education,Health and Social Service,"Culture, Sports and Entertainment"
2009,2676.323529,2144.852941,2728.382353,2538.235294,2616.911765,2921.617647,2613.970588,2887.352941,2297.5,4142.058824,4478.235294,3137.352941,3137.352941,3851.029412,2525,2307.058824,3097.941176,2741.323529,2549.852941
2010,3052.794118,2407.352941,3085.441176,2954.411765,2769.705882,3268.823529,2930.588235,3233.676471,2578.088235,4592.058824,4487.205882,3415.882353,3511.617647,4247.941176,2883.382353,2698.529412,3215,3172.205882,2942.941176
2011,3611.176471,2826.911765,3752.794118,3556.323529,3248.676471,3839.411765,3351.617647,3816.029412,3070.882353,5229.705882,4215.294118,3973.088235,3987.5,4605.882353,3376.176471,3021.029412,3475.882353,3763.235294,3333.235294
2012,4228.235294,3231.323529,4365.294118,4149.264706,3746.764706,4545.735294,4004.852941,4141.029412,3519.558824,5811.470588,4808.235294,4526.176471,4675.882353,5382.058824,3882.647059,3539.411765,3915.441176,4290.147059,3849.558824
2013,4809.705882,3624.264706,4864.852941,4711.029412,4352.5,5129.705882,4500.588235,4873.676471,4022.352941,6479.411765,5478.382353,5152.647059,5329.852941,6302.058824,4594.264706,4041.617647,4635.441176,4979.705882,4470.882353
2014,5351.470588,3950.294118,5267.5,5243.088235,4880,5711.470588,4984.411765,5719.264706,4335.735294,7506.470588,6110.735294,5562.647059,5796.176471,6979.705882,4977.5,4497.058824,4952.647059,5471.323529,4709.411765
2015,5821.911765,4245.441176,5616.470588,5727.647059,5092.794118,6133.823529,5387.5,5955.147059,4689.558824,8488.088235,6602.647059,6142.205882,6436.764706,7417.794118,5473.823529,4882.794118,5447.058824,5964.411765,5143.235294
2016,6298.970588,4603.088235,5823.529412,6193.382353,5677.205882,6588.676471,5821.911765,6280.147059,5104.705882,9349.705882,7406.764706,6773.970588,7034.705882,8053.529412,5896.911765,5268.235294,5810,6469.558824,5621.764706
2017,6729.558824,5040,6064.117647,6616.323529,6104.411765,6903.529412,6229.264706,6742.941176,5424.411765,10355.14706,7689.558824,7062.5,7557.941176,8544.411765,6038.382353,5649.558824,6362.205882,6955.294118,6058.970588
2018,7290.441176,5349.264706,6484.705882,7246.323529,6505.735294,7482.205882,6643.676471,7433.382353,5828.235294,11224.41176,9256.323529,7557.794118,7850.294118,9099.411765,6236.617647,6037.941176,6798.235294,7697.5,6557.647059
